song_id,genre_clean,language,cluster_direct,cluster_pca,cluster_ae,cluster_cvae
SOYBJJE12A8C13CC79,other,en,0,0,2,3
SOQKFHB12AB0186B13,progressive house,en,2,9,3,0
SOYPBEP12A8AE4853A,other,en,7,6,6,0
SOAGBQA12AB0180400,pop rock,en,6,0,0,3
SOSQIHH12A8C13370B,other,en,7,3,8,4
SOIFGXP12AB0182AE8,other,en,6,6,6,6
SOGHPNO12A582A2482,other,en,4,5,9,3
SOHKLCA12A8C1414AB,other,en,1,8,8,8
SODOBCV12A8C135BB3,other,en,2,9,7,8
SOESBTV12A8C1407EB,other,en,8,7,1,1
SOEKXKK12A8C1367A0,other,en,5,1,5,6
SOCOSSE12AB01828C7,other,en,5,4,6,8
SORXMMR12A6D4FBCF7,other,en,9,6,0,0
SONWNRW12AB018290A,other,en,3,1,4,0
SORKWDV12A8C13B43B,heavy metal,en,5,7,9,6
SOSFURN12A58A7AC5F,dancehall,en,9,6,6,0
SOBOJXY12A6D4F79A0,other,en,9,2,7,0
SOZNTZO12A8C13AA7E,other,en,4,7,8,0
SOPGCJJ12A58A796B7,other,en,6,5,2,3
SOAODBX12AB01829C5,other,en,1,4,3,3
SOSNAWZ12A6D4F74DF,other,en,9,4,6,4
SOOLZKK12A58A80000,other,en,1,8,1,0
SOFYJDL12A58A7DD52,other,en,6,7,1,7
SOVNTGC12AB01818F3,other,en,5,4,6,6
SOHOPYC12AB0188EFC,other,en,6,6,2,8
SOQKBQI12AB0182711,dance pop,en,7,3,0,5
SOUZAFY12A8C136709,other,en,0,9,2,3
SOHPAVE12A8AE47190,other,en,3,1,5,7
SOJCTES12AB01867CC,other,en,8,7,9,7
SOLNEKT12AB0187086,other,en,4,1,4,3
SOVGOOO12AB0182D50,hip hop,en,1,4,6,2
SOBJTHI12A8C133758,other,en,0,1,2,7
SOBBCFN12A8C13E4D9,other,en,6,7,9,8
SONXKIQ12A8C13292A,other,en,8,6,3,7
SOKQLLS12AB0188EC1,other,en,2,9,2,3
SOIIANJ12AB0184B3E,other,en,9,6,8,2
SOCNBUC12A81C2075A,other,en,1,8,1,6
SOBBHAH12A6310FF6B,other,en,4,7,8,4
SOBDENU12CF5465247,other,en,1,8,8,6
SOVPFPD12A8C13921A,other,en,8,6,2,3
SOHVPTO12A8C138ADF,other,en,5,0,7,3
SOUXAJS12AB0184E3B,other,en,7,3,3,4
SOQXNQP12A8C134AD7,blues-rock,en,0,7,9,0
SOCIFIF12A8C1378E5,other,en,2,9,2,7
SOWISQE12A6D4F7DBB,other,en,7,7,5,6
SOHKKXU12A67ADA08F,other,en,5,4,6,3
SOVKSAD12A8C142C13,other,en,3,1,3,6
SONUOBX12A8C141070,dance pop,en,7,3,0,5
SOLVAZN12AB017DBAD,other,en,8,7,9,4
SOQGGUN12AC4689CF7,other,en,1,8,1,0
SOTKJVT12A6D4FAB59,other,en,1,8,8,8
SOMWSER12AAF3B3B53,other,en,7,3,3,1
SORZLQQ12A8C137BB6,other,en,4,6,6,1
SOAHPOW12A8C142E38,other,en,8,8,1,0
SOQRRHL12AB017A67C,hip hop,en,9,4,6,7
SOENOQK12AB01864B9,other,en,3,1,4,7
SOMMZQP12AB0186FFE,other,en,0,5,2,7
SOMLDJP12A6D4FD967,other,en,9,2,7,8
SOXSCPE12CF5F88012,dance pop,en,8,6,0,5
SOMXLQP12AB018284C,other,en,6,9,2,3
SOAHNZK12A6D4F79A9,latin jazz,en,2,9,2,1
SOOBOIA12AAF3B268E,other,en,2,9,2,1
SOPTAMD12A58A7CFF3,other,en,0,6,3,7
SOFPYLJ12A6D4F843F,other,en,6,9,2,1
SOWYFAX12A6D4F7A3D,other,en,6,8,8,6
SOOIZES12AB018A80F,other,en,7,3,3,1
SODXUGT12A58A78B78,other,en,0,3,3,3
SONZYRS12A8C141A13,other,en,4,5,4,3
SOWLJJU12A81C2224B,other,en,7,6,3,3
SOVMSTD12A6D4F9840,other,en,1,8,8,6
SOIZQWP12AAF3B51CA,other,en,0,6,3,7
SOPAESK12A58A7BA11,ccm,en,1,8,0,7
SOWPSOV12A8C13FFE5,other,en,5,6,2,7
SOHBUBB12A3F1ED339,other,en,3,1,5,7
SOGKLCE12AB0186FDC,other,en,1,8,8,8
SOPQFFJ12AB0183400,other,en,4,5,2,3
SOZEYFC12A58A77E0B,roots reggae,en,2,4,6,3
SONNDTL12AB0187AC9,other,en,0,3,7,0
SOPILFZ12AC468D188,other,en,8,8,8,7
SOHVQGL12AB01810AD,dance pop,en,8,0,4,1
SOKDGJC12AB018BFB9,roots reggae,en,6,5,6,3
SOUGUXL12AB0184B76,other,en,0,1,2,0
SOMOKFH12A6D4F9EE6,blues-rock,en,0,7,9,2
SOZDDPQ12AF72A8BA8,other,en,0,5,4,3
SOJOLZE12AC3DFA463,other,en,1,3,3,8
SOLCJWW12A8C137C98,other,en,6,3,3,7
SOGGBMU12A8C145B5D,other,en,8,8,8,7
SOWHPTY12AB0181D50,other,en,4,5,2,3
SOABTKM12A8AE4721E,other,en,1,8,1,8
SOJVAAE12A8BED74B1,other,en,3,2,7,0
SOHSBLC12AB0183BC9,other,en,2,9,2,3
SOELVGK12A8C1337AF,other,en,1,3,6,4
SOQMDPN12AF72A25EE,other,en,1,8,8,4
SOTPQFM12AB017AC9E,other,en,8,8,8,8
SOPRPES12A8C1372A6,other,en,0,0,2,0
SOWXSQT12A6D4FC02E,other,en,9,2,7,8
SONSKRD12A6D4F9439,chanson,en,4,5,2,1
SOCQEHT12AB017F37F,other,en,6,5,2,7
SOWNOXA12AB0184353,other,en,8,6,8,7
SOEJBBP12AB017F03E,other,en,5,4,6,8
SOACUYZ12CF54662F1,other,en,8,6,5,7
SOXXJWR12AB017F577,pop rock,en,8,7,9,4
SOGATPI12AC960DCAC,other,en,0,0,2,0
SOQQPAX12AB0185375,other,en,2,9,7,4
SONCTTO12AB0183ED1,other,en,4,5,2,1
SONARPL12CF5465254,country rock,en,3,1,4,0
SOGQWTX12AB017FD78,blues-rock,en,8,7,9,6
SOZVZIO12AB017C39B,other,en,4,9,0,5
SOJWIXK12AB018D4B6,other,en,1,8,8,6
SOFSDOM12AB01830F1,other,en,8,8,8,4
SOEZJIE12A8C1318B7,power pop,en,5,0,9,5
SORKFNI12AB018214B,other,en,8,6,8,6
SOHUTJL12AB017CFDD,other,en,0,9,0,1
SOOBQGC12AC468CEAA,other,en,3,1,5,4
SOQWFLA12AF72A8A63,other,en,0,0,8,8
SOZFKKI12AB018602A,other,en,8,3,3,7
SONSSZX12AC4687680,other,en,0,0,5,0
SOTNAWQ12AB01870F4,hip hop,en,5,4,6,2
SOZQSIB12AC46881EC,chanson,en,4,1,2,7
SOQLJZN12A8C141701,other,en,3,1,4,6
SOAAVJY12A58A8076E,other,en,4,5,2,1
SOAXFFT12A6D4F7B45,hip hop,en,5,4,0,3
SODVYMC12A8C139669,other,en,3,1,5,4
SOEMZVF12A8C13148C,blues-rock,en,4,5,5,7
SOTTPDC12AB018B6D1,other,en,6,5,2,3
SOUXPIR12A81C21E21,other,en,6,1,7,7
SONLHOH12A8C1359D9,country rock,en,1,8,8,6
SOHGNJI12AB018217A,other,en,8,6,8,0
SOCIKUA12AB0180275,other,en,6,9,2,0
SOICWAN12A81C21789,latin jazz,en,0,6,2,9
SOVJQYF12AB0185B36,other,en,8,6,5,6
SOBEDLB12AB017E86C,other,en,2,9,7,3
SOQYNGM12A6D4F89D8,other,en,8,3,3,6
SOPXSOJ12A81C209E2,hip hop,en,5,4,6,2
SOELGKJ12A58A7CD11,gangster rap,en,9,4,6,1
SOOYIJN12AB017C168,blues-rock,en,8,7,5,1
SOZIQWL12AB01814C9,other,en,5,6,4,1
SOAMBKN12A8C137A71,other,en,4,7,9,7
SOEDFNB12A8AE48D1A,dancehall,en,7,3,6,6
SOUVEIY12A8C12FCF3,other,en,0,3,3,6
SOIEMSI12AB01802B4,other,en,7,3,3,4
SOXRTIF12A8C134238,hip hop,en,9,4,6,4
SOZAMZG12A8C137339,other,en,7,3,2,1
SOOAOFY12A8C13BDEB,other,en,4,7,9,4
SOSYUIY12AB0189FC2,roots reggae,en,9,4,6,6
SOBJREC12A8C139A10,other,en,8,6,2,0
SOUPVPL12AB0189B9F,hip hop,en,5,4,6,2
SOFLGMJ12AB01885F6,other,en,5,5,2,3
SOJINJO12A8C13C8C9,other,en,8,4,6,8
SOHYLEY12A8C13F20D,other,en,8,6,4,8
SOGMLLJ12A8AE46BA4,other,en,1,8,8,8
SOJNSEO12AB01818F8,heavy metal,en,1,8,8,4
SODHXXN12AC46899D2,other,en,7,3,3,7
SOGTNRF12AB0186035,other,en,5,6,6,0
SOTCGFW12A6D4F3B84,chanson,en,8,6,3,0
SOXRWWL12A8C1345F8,gangster rap,en,5,4,6,7
SOKLINL12A8C13447C,other,en,0,6,4,7
SOTDSFJ12A8C141206,other,en,1,8,3,3
SOAHRPF12AC468D610,other,en,7,3,6,0
SOGFGGL12A8AE47040,other,en,8,6,3,6
SOFQGMJ12AC468CBA7,other,en,8,6,4,3
SOJSITS12AB01850A4,other,en,0,3,3,0
SOAMJUS12A8C13446A,ccm,en,4,5,0,8
SOQQXBH12A8C145D71,other,en,6,5,8,6
SOMNSOY12AB0181ACB,post-grunge,en,7,7,9,5
SOLEFXD12AC3DFA062,other,en,8,7,9,6
SOLLCFT12A58A7A566,post-grunge,en,8,6,8,0
SOTGSMJ12A6D227171,other,en,1,8,8,6
SOFGEIT12A8C1406F3,other,en,6,1,2,1
SOMBDFC12A58A7A14E,other,en,4,6,4,8
SOZMPSO12A8C132D83,other,en,6,1,4,6
SOFKARX12A8AE485EE,other,en,8,6,4,7
SOSYHBX12A8C1417B8,other,en,5,0,2,8
SOZZWWW12A58A8146A,power pop,en,8,7,9,9
SOFEOZP12A6D4F9DF1,other,en,9,6,5,6
SOBGZZO12A6701CD25,other,en,1,8,8,7
SOIBJTK12A8C143D5E,other,en,8,6,3,8
SOOHHOU12AB018157C,other,en,8,4,4,1
SOLCSWD12A6D4FA136,other,en,4,9,0,3
SOSVQAW12A67ADC91A,other,en,6,6,2,8
SOHLGRQ12A8C13B296,other,en,8,6,3,5
SOWOTCY12AC907329A,other,en,0,1,5,8
SOYOOPY12A58A7C4F8,other,en,0,0,2,4
SOYCTRU12A6701DA91,other,en,8,6,8,8
SOHMLNS12A58A7DA68,other,en,8,7,9,1
SOBCCVG12A8C13804C,other,en,5,6,0,4
SOGOZYQ12AB0182359,other,en,2,9,2,7
SOYMUKA12A8C13C923,other,en,3,1,4,3
SODRZXF12A6D4F89FE,other,en,0,0,4,8
SOERJUK12AF72A49F7,hip hop,en,5,4,6,5
SOQUOUX12A8C14439E,other,en,2,9,2,3
SODCJNH12AB018A3A9,other,en,8,7,8,2
SOJVFTP12A58A7A4D4,other,en,7,6,3,8
SOLWNAR12A67020BF5,other,en,0,7,9,5
SOAQBLS12AC46878BF,other,en,6,5,0,3
SOOMLMG12A8151BD28,other,en,3,1,7,8
SOWZPSA12AB0187979,other,en,8,8,8,0
SOFTYIA12AB0183B67,other,en,3,1,8,8
SOZWZEH12AAF3B2578,pop rock,en,6,5,2,7
SOQFZBX12A6D4F5B4D,other,en,4,7,9,7
SOUAAMR12AB018C0B1,other,en,7,6,4,8
SOBLYNT12A8C137046,ccm,en,8,7,8,0
SOKNSOQ12A8C134AAE,other,en,0,1,7,5
SOJIGMK12AB018B088,other,en,4,5,7,4
SODCBCN12AB01818EA,other,en,1,3,3,8
SOZEKTZ12AB0185274,progressive house,en,1,3,3,9
SOOJCEQ12AB0189C25,other,en,4,5,2,0
SOREPOR12AB01859E4,other,en,8,8,8,0
SOKBQMV12A8C13A7E6,chanson,en,6,1,5,0
SOTZGNC12AB0184FE8,other,en,6,0,0,7
SOFFCBZ12A8C144291,other,en,1,8,8,4
SOUBVIH12A8C137C89,other,en,5,4,6,0
SOXDMAC12AB017E7FF,other,en,4,5,2,1
SOZAUAC12A8AE491A3,other,en,4,7,9,0
SOHGWLG12A8AE484B4,other,en,0,0,4,3
SOONUVQ12AB018889B,roots reggae,en,5,4,6,0
SORNAKH12AF72A1FDE,other,en,0,0,4,0
SONSEWJ12AB0182FBB,other,en,8,7,8,0
SOMKDSL12A8A9D5A19,other,en,6,7,9,8
SOCHIPS12AB017E780,other,en,1,8,3,8
SOKKHMB12AB0182B39,latin jazz,en,6,5,2,1
SOTKIHB12A8C13F653,other,en,8,6,3,8
SOISSJU12A8C135C04,other,en,8,7,2,8
SOQIBIH12AB0186282,other,en,0,1,5,7
SOCDVLZ12A8C13ECD2,other,en,8,6,0,0
SORMKJM12AB017A911,other,en,2,9,2,1
SOFSPBH12A8AE47733,dancehall,en,5,4,6,6
SOTZFYX12A6D4F71DE,other,en,9,2,6,5
SOCXMVT12A67ADD8BA,other,en,5,3,3,1
SOUPQHK12AB017CC62,other,en,5,3,3,7
SOQFANJ12AB0182758,other,en,8,6,8,3
SOLYALY12AC3DF5182,progressive house,en,1,3,3,9
SOJFOMN12A8C135B75,other,en,4,5,4,3
SOBMAHU12AB017FA30,other,en,2,1,4,5
SOKQQDO12A8C13471A,other,en,2,9,2,7
SOADJAQ12A8C13F520,other,en,4,5,2,8
SOIZLKI12A6D4F7B61,other,en,8,7,9,4
SOZVZWP12A58A7BAD1,dance pop,en,6,0,0,5
SOMSGDK12A8C14032F,other,en,3,8,8,4
SOKFHLV12AB0187A2F,other,en,8,6,4,7
SOPTTLQ12A58A7B12B,other,en,1,8,8,6
SOSSDRI12A8C13B97E,other,en,6,0,7,7
SOKTKHO12A58A7CDA5,hip hop,en,7,6,6,0
SOLVZZO12A8C130E19,other,en,8,6,4,7
SOJFVGM12A8C13E2B2,other,en,9,4,8,8
SOSYGHA12AB0186AEC,other,en,6,0,0,3
SOOYPCQ12A6D4FC50A,other,en,3,1,4,0
SOPWHEV12AB017DC10,other,en,1,8,1,8
SOLXDDC12A6701FBFD,hip hop,en,9,4,6,8
SOOAUWY12A8C14301D,other,en,9,2,7,0
SOYHZYO12A8C1391D8,other,en,6,1,4,7
SOAOFAT12AB018975D,other,en,8,7,5,5
SORWVEZ12A8C13C031,other,en,1,8,3,7
SOGUTKT12A8C1442E4,other,en,3,1,6,7
SOUJQJI12AB0183C80,other,en,0,0,2,7
SOCORMS12A67AE124F,blues-rock,en,5,7,9,5
SOZIQBP12A58A79F4E,other,en,0,0,2,1
SOLMXIE12A8C1429A8,other,en,8,8,8,6
SOUMTXR12AB017BAB4,other,en,5,8,1,8
SOZIQEG12A8AE46F8E,blues-rock,en,6,7,9,8
SOFJQSW12A58A7DD3B,power pop,en,2,9,2,1
SOVKHXD12A67020C86,other,en,4,0,0,1
SOCHHXJ12A6D4F8E9B,other,en,8,7,2,7
SOCPWFB12A6D4FA899,other,en,4,5,7,1
SOQVVDQ12AB018300C,pop rock,en,1,8,8,8
SOZQJKU12A8C13A0C1,other,en,0,7,9,0
SOFKPLB12AC95F0493,other,en,2,9,2,3
SOHMIMK12AB018A437,other,en,1,8,1,8
SOTSHSR12AB01899B6,other,en,1,8,1,6
SOAVTUX12AB0181896,other,en,4,5,7,7
SOKUUOE12A6D4F80EB,other,en,8,7,8,8
SONNXKA12AB018A294,other,en,7,3,3,0
SOVCPCV12AAFF41B75,other,en,4,5,0,3
SOXFDJD12AB018580A,other,en,7,3,3,7
SOQMROZ12AF729B758,other,en,1,8,8,6
SOILNCG12A6D4F9D6C,other,en,0,5,2,7
SOHEWXI12AB018960E,other,en,6,5,3,0
SODUSRP12A6D4FA762,progressive house,en,7,3,3,9
SOBHYLB12A8C1424C4,country rock,en,6,1,4,8
SOFUNWZ12AB01831A9,other,en,6,5,2,1
SOSUVLO12A8AE487E6,other,en,6,0,0,1
SOXDBMM12A6D4F9C58,ccm,en,2,5,0,5
SOCBUSG12AB0180568,blues-rock,en,6,7,5,8
SOCYTTZ12A8C1316EC,other,en,4,5,2,1
SOCRSPK12A8C142FF8,hip hop,en,9,4,6,1
SOFPFTF12A8C14172C,other,en,7,3,3,1
SOWDGVW12A8C13B9B7,other,en,1,8,8,0
SOUGTLE12A8C14547F,other,en,2,9,4,3
SOBDYCT12AB0183AF5,other,en,4,1,5,8
SONXKLQ12A8C141242,power pop,en,8,7,9,5
SOKGPRX12A8C138268,other,en,2,9,7,7
SOLSXXH12A8C143166,other,en,1,8,8,6
SOKPBBP12A8AE49419,other,en,4,5,2,0
SOONMKD12A81C2413A,other,en,8,8,8,0
SOTMGME12AB017F79B,other,en,4,1,2,3
SONHEUO12AF72A4792,other,en,5,4,2,6
SONMZBU12A58A7D2D3,country rock,en,8,7,4,8
SORWVHN12A8C1459EA,other,en,4,5,2,6
SOQUAIH12AB0181406,other,en,8,6,0,1
SONHNAC12A8C13A15A,other,en,3,1,2,1
SONWSOW12A8C13BC80,other,en,9,4,4,8
SORKPES12A8C137BFA,other,en,0,1,4,3
SOBDGEJ12A8C13F71A,other,en,0,6,6,4
SOKLDSG12AB0188032,other,en,6,0,3,4
SOASNQV12A8AE48819,other,en,5,3,3,1
SOGRXZY12A8C139043,pop rock,en,8,6,0,5
SOFCFGG12A6D4FB5F8,other,en,6,0,0,5
SOBZUIG12A8AE48C94,gangster rap,en,5,4,6,8
SOGUUTM12A58A7AAD9,other,en,0,0,2,1
SOWKNZT12AC4688FC9,other,en,5,4,2,7
SOTLKVX12A8C13BE9F,other,en,6,0,0,7
SOLRVTS12A8C139D5B,other,en,3,9,2,1
SOUDEWA12AB018532F,other,en,5,4,2,8
SOQUAKN12A8AE486C2,other,en,5,6,4,3
SOVLRKB12AC4687C3B,other,en,5,4,6,2
SOITIZR12A8C13BA50,other,en,2,1,5,1
SOGEWLT12AB018A185,other,en,0,1,2,3
SOAGEUK12A8C137581,chanson,en,4,5,5,1
SOWMHFS12AB017F85E,other,en,8,4,6,2
SOBEXVO12AB0180C53,hip hop,en,2,2,6,5
SOMQKIK12AB01824F5,other,en,4,5,2,8
SOCZUUF12A58A7BE8C,other,en,4,5,8,0
SOIMAKW12AB01887BF,other,en,3,1,7,5
SOUEARP12A58A7D643,other,en,5,0,0,7
SOIVZJD12AB0182EDD,other,en,0,5,3,7
SOKHYFG12A63110822,hip hop,en,5,4,6,2
SOKWBGF12AC3DFB033,other,en,8,6,6,5
SOEFJXQ12A670200C8,other,en,4,9,2,7
SOVTFUO12A6310D813,roots reggae,en,7,3,6,9
SOMVAUS12AB017D665,other,en,7,3,3,3
SOHKXAC12A58A7F6E5,other,en,4,5,8,1
SOHBHOE12AB01840A9,other,en,4,5,0,2
SOWZVLJ12A58A7C2C8,ccm,en,0,5,0,7
SOAORIB12AC9072D42,other,en,4,5,4,7
SOTYYYZ12A58A7D468,other,en,6,7,8,8
SOYEVCP12AC9E17E09,dance pop,en,0,0,0,7
SOONWRV12A8C138371,other,en,0,0,2,0
SOOUNZH12A6D4F9584,other,en,1,8,8,5
SOVQFUY12AB018A77D,other,en,3,1,2,3
SOJNRPI12AB018E779,power pop,en,4,7,8,0
SOPDHNR12AB017BDB9,other,en,8,6,6,8
SOFUDES12AB018E6C8,chanson,en,5,6,0,7
SOQWLMX12A67020B04,hip hop,en,8,6,6,3
SONPYGH12A6701F6CF,gangster rap,en,9,4,6,9
SOWXZFY12A8C13807F,other,en,9,6,7,6
SOSELMV12A6D4FCF5A,other,en,0,0,2,7
SODOSRS12A8C144552,blues-rock,en,8,7,9,5
SOLJQBW12A6702187B,hip hop,en,9,4,6,2
SOKZIXZ12AAF3B2CEC,other,en,7,0,2,8
SOPVANN12AB0186E36,other,en,5,4,9,0
SOWEUOO12A6D4F6D0C,other,en,1,8,1,8
SOGIUHH12A8C138CE0,other,en,3,1,5,0
SOUKMIK12A6D4F671E,other,en,3,1,9,3
SODYJJO12A58A7C861,other,en,9,6,0,5
SORXZTW12AB0183775,other,en,7,4,2,8
SOEKVHT12AB018D3D0,ccm,en,6,5,0,8
SOANWEY12A58A7B504,other,en,8,8,8,8
SONYDNP12AB0186DCE,dancehall,en,5,4,6,8
SODICFT12AB01836D3,other,en,3,1,4,3
SOZNTWU12A8C1453CF,other,en,2,9,6,3
SOQSPFC12AB018C494,other,en,8,7,1,0
SOLRXEG12A8C13D5E7,other,en,0,0,4,7
SOSJWQO12AC9070E86,other,en,2,9,2,7
SOHWNYG12A81C208D4,other,en,0,0,3,0
SOVAKME12AB01892EE,other,en,8,3,3,8
SORVNPU12A8C134C36,other,en,4,5,2,8
SOUFDQA12AB0189758,other,en,4,5,2,3
SOACDZP12AB0188A3C,other,en,6,7,3,8
SOHRNFL12A6D4F9978,other,en,6,0,4,3
SOUFPAB12A8C1382E0,blues-rock,en,8,7,9,8
SOKTSYD12A8C13CB8F,hip hop,en,9,4,6,5
SOQWNGK12AB01897E2,other,en,8,6,6,8
SOGBVJQ12AB01834A1,chanson,en,3,1,7,1
SOHJIWJ12AB0184EF9,pop rock,en,1,8,8,8
SOWRKPT12AC468E5D5,other,en,7,3,0,5
SOZEGIU12AB01895A8,other,en,4,5,4,7
SOKHMJO12AB01832DA,other,en,9,4,8,8
SOYIXMY12AF72A0734,other,en,9,7,9,6
SOIMRXV12A58A7F1B5,gangster rap,en,9,4,6,5
SOFOXRS12AB017BD2E,other,en,0,0,4,1
SOXXZFP12A8AE47061,other,en,1,8,8,5
SOOBTKZ12A58A7B0B0,blues-rock,en,8,7,5,8
SOUEILW12AF72A5701,other,en,8,7,1,8
SODWIDL12A6D4FA5F2,latin jazz,en,0,5,2,1
SORYBLZ12AF72A4286,other,en,8,7,8,6
SOOQPIK12A6701F1C5,other,en,6,0,2,7
SOJDYFO12A8C141BA4,other,en,9,6,5,7
SOAQLJU12AB0185B2A,other,en,4,5,1,3
SOEUWYJ12A8C144BE8,blues-rock,en,8,7,9,8
SOTAEHU12A8AE47888,other,en,2,9,2,3
SOFPBVZ12A8C135C19,other,en,7,3,3,9
SOFXZWI12AB0180B8D,other,en,6,7,1,0
SOHHVZZ12A6D4F9848,other,en,3,1,5,7
SOQTINJ12A58A7DD36,other,en,1,8,7,8
SOWEZSI12A81C21CE6,other,en,8,6,0,8
SOHGUVY12A6D4FD2D5,other,en,0,0,7,5
SOWNKBE12A67FFB39F,hip hop,en,1,4,6,5
SOMXAFA12AB018C537,other,en,2,9,2,4
SOOCGEI12A6D4F9624,other,en,8,7,4,0
SOBUVXZ12AC9075605,power pop,en,8,6,8,5
SOQLXRZ12AC468BC3F,other,en,8,7,2,0
SOJCRCO12A6D4F89BA,hip hop,en,3,4,6,6
SOGZRCP12AC960D91D,power pop,en,1,8,8,5
SOQBYJC12A8C1358D9,power pop,en,4,7,9,7
SOUKRER12A8C13BDE1,other,en,5,3,3,8
SOJJZTV12A6D4F6F6C,other,en,7,3,3,1
SODHFOI12A58A78491,other,en,4,5,2,3
SOBRDLW12AC468A908,other,en,4,5,9,3
SOBJVKE12A8AE44914,other,en,7,3,3,4
SOCJHAZ12AB0181CE2,other,en,0,0,2,7
SOEEANS12AB0184A71,other,en,1,8,8,8
SOXMSNK12AF72A8850,gangster rap,en,8,4,6,9
SOGBMQD12AB018F2A0,gangster rap,en,5,4,6,7
SOLUWQF12AB017DBDC,other,en,6,0,2,3
SOHVCVM12AB018E396,other,en,0,1,5,0
SOPYDMS12A8C13676F,other,en,6,5,4,3
SODCZXW12A6D4F97F5,other,en,6,7,9,6
SOYKZHI12A58A7BEE9,other,en,5,7,9,3
SOCYLNE12A81C223ED,other,en,0,0,2,1
SOEDFBN12AC9072EFE,other,en,8,6,2,7
SONRWFT12A6D4F983A,other,en,1,8,8,6
SOMPUMW12A8C13D654,other,en,4,5,0,7
SOWPSXC12A6D4FB04D,progressive house,en,7,3,3,8
SOILVKO12A8AE486B1,other,en,1,6,8,3
SOXQCMS12AB018591C,other,en,8,8,8,0
SOCXULH12A8C13F551,other,en,2,9,2,3
SOYKMPM12AB0188163,roots reggae,en,5,4,6,5
SORNYFV12AF729F4A0,other,en,8,7,8,1
SOBQJCE12AB0183BB3,ccm,en,4,5,0,1
SOHCGST12AB0185F64,other,en,9,6,6,8
SOTMRJU12AC9074F64,other,en,0,0,0,1
SOBBSDX12AAF3B33A9,progressive house,en,8,6,3,5
SOLWFYL12A8AE47B48,other,en,2,9,2,7
SOZCOFD12AB0189AC5,other,en,3,1,4,7
SOUAFUV12AB018A8FC,other,en,2,9,2,8
SOVGUDZ12AB017E644,other,en,9,4,6,8
SOZKPDV12A8C136A4E,hip hop,en,7,3,6,4
SOHWHCE12A8C133385,other,en,0,1,4,8
SOIIEVJ12AB018564E,other,en,3,1,8,8
SOWOMMS12A8AE499EB,other,en,7,3,3,5
SOPAZGG12AC3DF6DC1,other,en,8,6,0,1
SODHEVC12A58A81DA0,hip hop,en,9,2,7,0
SOGMYFZ12AC468ACED,other,en,4,5,2,3
SOKBIAI12AB0180E97,other,en,5,4,8,7
