song_id,artist_name,title,tempo,loudness,duration,cluster
,Refractory,Check the bomb,0,0,358.89587,1
,Theodor Zox,System of Play,0,0,381.23057,1
,Bob Dylan,Trying To Get To Heaven,0,0,320.70485,1
,Maximilian Hecker,Birch,0,0,370.02404,1
,Albert Collins,Same Old Thing,0,0,356.25751,1
,Fergie,Voodoo Doll,0,0,263.05261,2
,Los Amigos Invisibles,Nerio Compra Una Contestadora,0,0,24.34567,0
,Seal,Killer (Single Version),0,0,257.48853,2
,Flink,Sunset Manifesto,0,0,160.91383,0
,Salt The Wound,From My Hands,0,0,241.162,2
,ZENFU,Tanz,0,0,130.71628,0
,Daniel Paul,Coming Back For More feat. Colin Corvez,0,0,323.60444,1
,Winston Reedy,Paradise In Your Eyes,0,0,268.61669,1
,Korpiklaani,Isku Pitkästä Ilosta,0,0,250.8273,2
,Eminem,The Way I Am,0,0,291.10812,1
,Johnny Cash,One More Ride (Digitally Remastered),0,0,120.99873,0
,Brian Dullaghan,Can't Help Falling In Love,0,0,190.56281,2
,Dezz White,Drunk Driving Tip,0,0,44.93016,0
,Shakira,Que Vuelvas,0,0,231.75791,2
,Roger Williams,I'm In The Mood For Love,0,0,170.81424,0
,Gonzalo Rubalcaba,Yesterdays,0,0,483.39546,3
,David Taylor,Concertino for Bass Trombone and Trombone Choir,0,0,600.11057,3
,Domna Kountouri,De Tha Mai Edo,0,0,209.94567,2
,Anne Dudley,Rachel's retribution,0,0,280.86812,1
,The Starting Line,A Goodnight's Sleep,0,0,264.41098,2
,L.A.V.I,Mui Mal_ Animal,0,0,565.96853,3
,TEN MADISON,Cup Horn,0,0,344.68526,1
,Carl Belew,Am I That Easy To Forget,0,0,140.38159,0
,Sonora Carruseles,Vitamina,0,0,230.00771,2
,The Misfits,The Haunting,0,0,85.9424,0
,Jessie Lee Miller,All or Nothin' Gal,0,0,116.92363,0
,Audio Adrenaline,Some Kind Of Zombie (Criscoteque Remix),0,0,279.97995,1
,Tito Allen,A Veces Hablo De Ti,0,0,322.21995,1
,Pee Wee Crayton,Old Fashioned Baby,0,0,163.10812,0
,Dickies,Just Say Yes,0,0,152.94649,0
,David & Steve Gordon,Faithkeeper_ Part 1,0,0,532.27057,3
,Abijah,Children Of Love,0,0,204.77342,2
,Daniela Dessì,Afro Profondo,0,0,178.75546,2
,Murskahumppa,Lihava enkeli,0,0,163.47383,0
,CoCo Lee,Killing Me Softly With His Song,0,0,310.54322,1
,Doniki,Girl You Need My Love,0,0,256.20853,2
,Burt Bacharach,Love Theme (The Falling In Love),0,0,98.32444,0
,Leon Russell,Roller Derby,0,0,145.55383,0
,Jimmy Wayne,Are You Ever Gonna Love Me?,0,0,232.64608,2
,Fast Eddie featuring Kool Rock,Turn Up The Bass,0,0,271.3073,1
,Ann Lee,So deep,0,0,380.08118,1
,Life Long Tragedy,Collecting Dust,0,0,204.9824,2
,Hushabye Baby,You Had Me From Hello (Lullaby Rendition of Kenny Chesney),0,0,223.45098,2
,Ill Nino,Nothing's Clear (Album Version),0,0,202.13506,2
,The Marx Brothers,You Must Do Your Best Tonight / I Represent/Animal Crackers,0,0,116.37506,0
,William Goldstein,French Suite: A Paris Thing,0,0,276.50567,1
,Tim Exile,Oh Scat Mix Up,0,0,78.21016,0
,The Jam,The Modern World,0,0,150.59546,0
,Descendents,I'm Not A Loser,0,0,89.23383,0
,Barbarito Diez,De Paris Un Caballero,0,0,157.962,0
,Bill Engvall,T-Ball and Indian Guides (LP Version),0,0,482.21995,3
,Françoise Hardy - Maurane,La Rue Du Babouin,0,0,194.24608,2
,David Arkenstone,Big Bounce,0,0,272.97914,1
,The Almost,Summer Summer,0,0,240.79628,2
,Camp Lo,Bubblin' (Anita Demo),0,0,222.40608,2
,Stevie Ray Vaughan And Double Trouble,Couldn't Stand The Weather,0,0,281.05098,1
,David Johansen,In Style,0,0,247.97995,2
,Jeff Massanari Trio,Closin' Moes,0,0,253.85751,2
,Harry Lauder,Portobello Lass,0,0,177.6322,2
,Gershon Kingsley,Trumansburg Whistle,0,0,180.08771,2
,Kenny Rogers,Reuben James,0,0,167.00036,0
,Bad Company,Rock Steady,0,0,229.58975,2
,Winifred Phillips,Sporable,0,0,141.19138,0
,Zombina & The Skeletones,The Waiting,0,0,145.3971,0
,MxPx,Grey Skies Turn Blue,0,0,183.97995,2
,Zumpano,Wraparound Shades (Album),0,0,228.46649,2
,Thrice,The Earth Isn't Humming,0,0,349.80526,1
,Davol,Champion (World),0,0,264.09751,2
,Cannon's Jug Stompers,Heart Breakin' Blues,0,0,186.64444,2
,30 Seconds To Mars,Year Zero,0,0,472.39791,3
,Who Made Who,Satisfaction,0,0,265.32526,2
,Tyrone Davis,I Can't Help Myself,0,0,277.41995,1
,K.I.Z.,Autofokus,0,0,231.18322,2
,Aimable,Tango Andorra,0,0,180.45342,2
,Birmingham Jubilee Singers,King Jesus Is My Captain,0,0,183.27465,2
,Shelby Flint,I've Grown Accustomed To His Face I've Grown Accustomed To His Face,0,0,121.25995,0
,Ill Harmonics,Profound Sound (Take Two Album Version),0,0,59.03628,0
,Lonnie Johnson,She's My Mary,0,0,199.44444,2
,Alvin Youngblood Hart,Livin' In a Strain,0,0,231.10485,2
,The Knightsbridge Strings,The Little White Cloud That Cried,0,0,132.44036,0
,Los Solitarios,Amor que terminó,0,0,179.56526,2
,The Dils,Tell Me What I Want to Hear,0,0,141.84444,0
,Thrice,Red Sky,0,0,313.7824,1
,Herbert von Karajan and Turin RAI Symphony Orchestra,Symphony No. 7 in A Major_ Op. 92: I. Poco sostenuto - Vivace,0,0,770.35057,3
,Flora Purim,Above The Rainbow,0,0,208.03873,2
,Kenny Neal,Strike While the Iron is Hot,0,0,180.61016,2
,Harry Lauder,Shouther to Shouther (Shoulder to Shoulder),0,0,224.62649,2
,Joi,Prem,0,0,425.16853,3
,Aceyalone,Suicide,0,0,170.1873,0
,Tech N9ne,Caribou Lou,0,0,274.85995,1
,Little Feat,Day Or Night [Live Album Version],0,0,330.73587,1
,Los Auténticos Decadentes,El Vino Triste,0,0,210.02404,2
,Pearl Jam,Wishlist,0,0,235.25832,2
,Chaka Demus & Pliers,Santa Barbara,0,0,251.97669,2
,Teena Marie,Playboy,0,0,323.18649,1
,Christian Quast,Jugglin' Clown,0,0,485.14567,3
,Wilks,Things i say,0,0,220.36853,2
,Deodato,Groovitation (Album Version),0,0,371.33016,1
,Tom Cochrane,Christmas All The Time (Acoustic),0,0,204.14649,2
,Steel Pulse,Role Model,0,0,262.47791,2
,Edouard Duleu,Virtuosite Musette,0,0,130.06322,0
,ARRESTED DEVELOPMENT,Since The Last Time,0,0,218.06975,2
,Bela Fleck And The Flecktones,Michelle (LP Version),0,0,309.91628,1
,Bitty McLean,We´ve Only Just Begun,0,0,246.46485,2
,Los Chichos,Porque Nos Queremos,0,0,212.53179,2
,Jane's Addiction,Obvious ( LP Version ),0,0,355.63057,1
,In Extremo,Frei zu sein,0,0,260.5971,2
,DJ Omega,Grown & Sexy,0,0,203.31057,2
,Markscheider Kunst,Grustnaja,0,0,222.64118,2
,Étienne Daho,Epaule tattoo (Live 1989),0,0,288.49587,1
,Plies,Goons Lurkin (Instrumental Album Version),0,0,233.42975,2
,Jeff And Sheri Easter,Wolf In Sheep's Clothing,0,0,170.4224,0
,React,Lost Circles,0,0,158.27546,0
,DJ Nasty,Pussy Hole,0,0,194.29832,2
,Günter Noris,El Cumbanchero,0,0,156.62975,0
,Orquesta Sublime,El divertido,0,0,168.30649,0
,Milieu,Blackwood Moth,0,0,371.87873,1
,Out Of The Grey,Dreaming Of April,0,0,225.95873,2
,Snow Patrol,New Sensation,0,0,214.5171,2
,Dart,For The Good Times,0,0,340.53179,1
,Pelle Carlberg,Clever Girls Like Clever Boys Much More Than Clever Boys Like Clever Girls,0,0,247.24853,2
,Open Hand,Never Alone,0,0,486.97424,3
,Sex Pistols,Chatterbox,0,0,189.17832,2
,Ennio Morricone,Sporco Ma Distinto,0,0,118.33424,0
,Koffi Olomide,Elle Et Moi,0,0,293.27628,1
,Charlie McCoy,Columbus Stockade Blues,0,0,197.79873,2
,The Wreckers,Damn That Radio [Live],0,0,211.59138,2
,Gal Costa,Camisa Amarela,0,0,171.85914,0
,Enuff Z Nuff,Style,0,0,182.15138,2
,Lesley Gore,It's My Party,0,0,140.2771,0
,Inspiral Carpets,Keep The Circle Around,0,0,230.05995,2
,Various Production,Wot U Say,0,0,191.99955,2
,Eason Chan,Xiang Zai Le Huo,0,0,221.80526,2
,Stephen Warbeck,Birth Of The Falls,0,0,123.68934,0
,Johnny Daye,What'll I Do For Satisfaction (LP Version),0,0,176.90077,0
,An Cafe,Portraying Light With Rainbow Colored Crayon,0,0,310.12526,1
,Gene Pitney,For Me This Is Happy,0,0,146.9122,0
,Peggy Zina,Ithaki,0,0,177.44934,2
,New Order,Guilty Partner,0,0,288.02567,1
,The Sensational Alex Harvey Band,Delilah,0,0,316.81261,1
,Bobby Pulido,La Rosa (Live),0,0,195.42159,2
,Bruce Rowland,"Let's Call Him ""Andre",0,0,138.762,0
,Kitty Kallen,Our Lady Of Fatima,0,0,165.45914,0
,Kari Tapio,Syvä meri (Oceano),0,0,161.20118,0
,Redman,I Got A Seecret,0,0,209.6322,2
,Chucho Valdés,Reprise: Tú mi delirio - Guajira - Si te contara - El manisero,0,0,375.03955,1
,Belami,Te Miattad Változott Meg Az Életem,0,0,237.19138,2
,Tshala Muana,Banda Yango,0,0,390.63465,1
,Extreme,Song For Love,0,0,355.5522,1
,Janina,Nachts um halb drei,0,0,189.70077,2
,Mat Maneri,Iron Man,0,0,192.15628,2
,Panic At The Disco,I Constantly Thank God For Esteban [Live In Chicago],0,0,253.23057,2
,Pumpkin Buzzard,000GrandPno,0,0,45.87057,0
,Christos Dantis,Pai Keros,0,0,251.08853,2
,The Moody Blues,Tuesday Afternoon,0,0,291.29098,1
,Fiona,As We Lay,0,0,228.10077,2
,Nicole C. Mullen,Forever You Reign (Album),0,0,268.43383,1
,Orquestra,Tema Da Desilusão (Garota De Ipanema),0,0,87.58812,0
,Virgil Moorefield,Healing Power,0,0,236.2771,2
,Hatiras,The Anthem,0,0,298.1873,1
,Trafik,Disco Trafiko,0,0,265.53424,2
,Jope Ruonansuu,Rant Kanaria,0,0,211.25179,2
,This Moment In Black History,Blackwords Masking,0,0,145.8673,0
,Joselito,Clavelitos,0,0,159.76444,0
,Natalie Cole,The Gift,0,0,194.53342,2
,UK Subs,Tomorrows Girls (Live),0,0,122.40934,0
,Imiskoubria,O Dikos Sou DJ,0,0,208.50893,2
,Grizzly Bear,Little Brother,0,0,384.67873,1
,Nirvana,Polly,0,0,168.51546,0
,George Jones,Ol' Frank,0,0,168.33261,0
,SOJA,Be Aware,0,0,221.09995,2
,Julie Roberts,The Chance,0,0,287.50322,1
,Seatrain,Abbeville Fair,0,0,294.47791,1
,Cracker,My Life Is Totally Boring Without You,0,0,196.5971,2
,Chris Clark,Gavel Obliterated,0,0,226.11546,2
,Al Di Meola,Calliope,0,0,257.30567,2
,Mustafa Sandal / Gülcan,Aya Benzer 2003 (Moonlight),0,0,239.12444,2
,The Elders,Fire in the Hole,0,0,274.46812,1
,Mance Lipscomb,So Different Blues,0,0,181.39383,2
,Los Chunguitos,Cuantas Madres Llorando,0,0,172.72118,0
,Harald Kloser / Thomas Wander / Thomas Schobel,Opening,0,0,163.21261,0
,Singing Melody,Lived My Life,0,0,235.7024,2
,Juelz Santana / Freekey Zeekey / Monique Garnett,Dipset (Santana's Town) (Skit),0,0,79.64689,0
,SNAP!,Do You See The Light (Deep Ethno Mix),0,0,293.92934,1
,Java,Pépètes,0,0,304.16934,1
,The Rodeo,Cha Cha Cha,0,0,176.97914,0
,Kristine W.,Save My Soul (Cypher UK Radio Edit),0,0,235.12771,2
,León Gieco,Buenos Aires (De Tus Amores),0,0,302.2624,1
,Faron Young,It's Four In The Morning,0,0,159.79057,0
,Paul Buckmaster,The Interrogation,0,0,73.50812,0
,Paul Avgerinos,Song Without End,0,0,324.51873,1
,Muse,Supermassive Black Hole (Album Version),0,0,209.34485,2
,Seal,Show Me (Acoustic Version),0,0,117.78567,0
,The Prefects,Background Music: The Greatest Ever Punk Sing-Along! (Live),0,0,266.57914,2
,Lonestar,Y.O.U. (Album Version),0,0,214.12526,2
,Pennywise,6TH Avenue Nightmare,0,0,159.89506,0
,Sandra Mihanovich,Cuatro Estrofas,0,0,263.18322,2
,Slum Village,Climax (Instrumental Mix),0,0,200.61995,2
,Dixie Chicks,Give It Up Or Let Me Go,0,0,296.30649,1
,Bomb Squad,BOMB SQUAD,0,0,191.11138,2
,Charlotte Gainsbourg,Le Chat du Café des Artistes,0,0,241.65832,2
,The Jordanaires & Orion,Joy to the World,0,0,97.69751,0
,God Lives Underwater,Don't Know How To Be,0,0,215.40526,2
,Eminem,I'm Back,0,0,312.2673,1
,Mack and Jamie,Althea Cooley,0,0,27.6371,0
,Bob Wills,Yearning Just For You,0,0,160.26077,0
,Don & Juan,Sincerely,0,0,148.16608,0
,An Cafe,ONE WAY LOVE,0,0,276.13995,1
,Bob Hope,Merry-Go-Runaround,0,0,147.722,0
,María Elena Walsh,Canción De Títeres,0,0,114.80771,0
,Eric Burdon,Devil's Daughter,0,0,262.97424,2
,Dark Shadows,The Taking Of Angelique,0,0,67.05587,0
,Circle Jerks,Question Authority,0,0,122.64444,0
,S.U.P,4tx.31b,0,0,274.54649,1
,Deville_ Willy,Loup Garou,0,0,291.91791,1
,Daniel Johnston,Oh No,0,0,237.68771,2
,Jake Hess,So Many Reasons,0,0,168.77669,0
,Sophie B. Hawkins,32 Lines (Album Version),0,0,302.86322,1
,Georges Parys,Levallois Monte Carlo,0,0,155.58485,0
,Diesel Boy,Dragonfly,0,0,140.06812,0
,Jefferson Starship,Fading Lady Light,0,0,220.52526,2
,The Irish Tenors,The Croppy Boy,0,0,283.55873,1
,Keep Of Kalessin,Many Are We,0,0,292.41424,1
,Eyes Set to Kill,Play The Part,0,0,158.95465,0
,Rod Bernard,Cajun Honey (Cajun Lovin' Style),0,0,103.44444,0
,Devo,Sloppy (I Saw My Baby Gettin'),0,0,159.89506,0
,Geiom Feat. Marita,Reminissin',0,0,363.38893,1
,Pep Laguarda & Tapineria,Caseta del Plater,0,0,340.53179,1
,Ann Lee,2 People,0,0,217.62567,2
,The Red Jumpsuit Apparatus,In Fate's Hands (Album Version),0,0,208.79628,2
,Sergio Mendes,Tem Do de Mim (Live At El Matador_ San Francisco),0,0,161.59302,0
,Chroma Key,Salvation,0,0,160.31302,0
,Rachael Starr,Till There Was You (John Creamer & Stephane K Remix),0,0,608.23465,3
,Don Gibson,I Love No One But You,0,0,169.63873,0
,Hélio Ziskind,A história do incêndio do jequitibá de Carangola (Part 1),0,0,143.67302,0
,Anna Abreu,Shame,0,0,205.45261,2
,Michael Card,Arise_ My Love (Song Of Solomon),0,0,208.50893,2
,Lonnie Brooks,Two Guitars Shuffle (take 1),0,0,351.73832,1
,Stanley Clarke,What If I Forget The Champagne,0,0,312.76363,1
,Mykill Miers,Listen,0,0,236.5122,2
,TEN MADISON,Elementro,0,0,405.41995,3
,Rancid,Meteor Of War (Album Version),0,0,81.10975,0
,Moon Mullican,Kangaroo Blues,0,0,173.24363,0
,The Shangri-Las,Remember (Walkin' In the Sand),0,0,136.01914,0
,The Katies,Tappin' Out (LP Version),0,0,199.8624,2
,James Horner,The Stranger,0,0,231.57506,2
,4 Skins,A.C.A.B. (Bumper Sessions),0,0,89.44281,0
,Mario Telles,Nanã,0,0,212.13995,2
,The Scare,NOT IN LOVE,0,0,218.95791,2
,Burt Bacharach,Are You There (With Another Girl),0,0,175.882,0
,The Chi-Lites,Intro,0,0,251.27138,2
,Jason Michael Carroll,No Good In Goodbye,0,0,229.8771,2
,Sivuca,Copacabana,0,0,137.482,0
,Michael Jackson,I Wanna Be Where You Are,0,0,182.7522,2
,Eddie Calvert,Tenderly,0,0,171.65016,0
,Rickie Lee Jones,Danny's All-Star Joint (LP Version),0,0,246.62159,2
,Loretta Lynn,I'd Rather Have Jesus,0,0,161.48853,0
,Rauni Pekkala,Miesten tähden,0,0,162.14159,0
,Alex Gopher,Song For Paul,0,0,164.0224,0
,The Prodigy,Charly (Trip Into Drum And Bass Version) (Remastered),0,0,312.86812,1
,Simply Red,Thrill Me,0,0,303.96036,1
,Telecast,Covered (The Beauty Of Simplicity Album Version),0,0,197.98159,2
,Twista,Girl Tonite (featuring Trey Songz)  (Explicit Chopped & Screwed Version),0,0,259.70893,2
,Stefon Harris,From the Gardner Meditations: African Tarantella,0,0,538.27873,3
,Eddie,Beautiful Lies,0,0,317.962,1
,Bobby Pulido,Alma De Metal,0,0,216.31955,2
,Ramón Vargas;Vesselina Kasarova;Vladimir Jurowski,Werther - Lyric Drama in four Acts/Act III/Toute mon âme est là,0,0,333.92281,1
,The Chi Lites,Toby,0,0,170.70975,0
,Fruko Y Sus Tesos,La Fruta Bomba,0,0,242.75546,2
,Time Zone,World Destruction (2005 Digital Remaster),0,0,233.63873,2
,Blind Lemon Jefferson,Wartime Blues,0,0,185.41669,2
,Frank Chacksfield,Theme From the Victors,0,0,142.65424,0
,Nana Mouskouri,Only You,0,0,175.12444,0
,KMD,Change Your Mind,0,0,239.12444,2
,Cam'Ron,O.T. (Skit),0,0,24.73751,0
,Alceu Valença,Na Primeira Manhã,0,0,162.84689,0
,Bon Jovi,Wildflower,0,0,253.83138,2
,The Merry Macs,Dolores,0,0,194.84689,2
,Ann Nesby,Tables Turn,0,0,243.01669,2
,The Shamen,Heal (The Separation) [PM Dawn Alt. Lead Mix],0,0,280.31955,1
,Gorillaz,Rock The House (Explicit),0,0,249.93914,2
,Thomas Battenstein,East West,0,0,342.20363,1
,Danny Wright,Carol of the Bells (Album Version),0,0,240.53506,2
,Burning Spear,The Invasion (Aka Black Wa Da Da),0,0,334.31465,1
,Midwest Product,Motivator,0,0,301.73995,1
,From Autumn To Ashes,IV,0,0,147.64363,0
,Mademoiselle Sane,La petite boite en fer,0,0,217.62567,2
,Passion,Jesus_ Lover Of My Soul (Bonus Stereo Trax),0,0,253.41342,2
,Barbara Fairchild,The Other Side Of That Hill,0,0,329.24689,1
,The Frequency,Own Me,0,0,284.682,1
,Britney Spears,Someday (I Will Understand),0,0,1.04444,0
,Jack Johnson and Friends / Matt Costa,Fall Line,0,0,136.30649,0
,Soul Asylum,Don't It (make Your Troubles Seem Small) (Album Version),0,0,168.93342,0
,Mohammad Nouri,Morghe Eshgh,0,0,224.02567,2
,Big Star,Watch The Sunrise [Live at Lafayette's Music Room_ Memphis_ TN_ January 1973],0,0,241.60608,2
,Eko Fresh feat. Capkekz,Das ist mein Viertel,0,0,236.14649,2
,Caballo Dorado,Me vuelves loco,0,0,190.22322,2
,City High,Sista,0,0,231.33995,2
,Eazy-E,I'mma Break It Down,0,0,208.32608,2
,Magic Systeme,1er Gaou,0,0,287.34649,1
,Amy Winehouse,Valerie,0,0,229.85098,2
,Pat Travers,It Ain't What It Seems,0,0,225.20118,2
,Gorillaz,November Has Come,0,0,160.96608,0
,The Antripodean Collective,The Very Conscious,0,0,720.53506,3
,The In Crowd,Back A Yard,0,0,266.81424,2
,Linkin Park,Given Up (Album Version),0,0,189.28281,2
,Lonnie Johnson,South Bound Water,0,0,189.98812,2
,Bryan Ferry,Ja Nun Hons Pris,0,0,35.65669,0
,Mississippi Mass Choir,It's Good To Know Jesus,0,0,221.90975,2
,Martin Sexton,Things You Do To Me,0,0,256.62649,2
,Glad,O For a Thousand Tongues,0,0,202.55302,2
,DAVE MATTHEWS BAND,Tripping Billies,0,0,289.09669,1
,George Nooks,Your Love (Got a Hold of Me) instrumental,0,0,252.3424,2
,Jim Kweskin,Kaloobafak [I'm Confessin' (That I Love You)] (LP Version),0,0,235.31057,2
,Joe Turner,Nobody In Mind,0,0,171.65016,0
,The Pineapple Thief,Run A Mile,0,0,399.82975,1
,Justin,Wo You Jin Ri,0,0,298.10893,1
,Carl Davis,Cranford: Deborah's Vigil,0,0,167.20934,0
,Atman,All Is One,0,0,433.94567,3
,Wamdue Project,Washes Over Me,0,0,422.24281,3
,Planxty,Junior Crehan's Favourite - Corney Is Coming,0,0,156.18567,0
,Thomas Battenstein,Jag Vet En Dejlig Rosa,0,0,175.90812,0
,Hector,Hannikaisen baari,0,0,282.64444,1
,Sammi Cheng,Luo Cuo Che,0,0,295.57506,1
,The Jeff Healey Band,It Could All Get Blown Away,0,0,283.03628,1
,RUN-DMC,Bob Your Head,0,0,227.5522,2
,Anthony Cruz,Make it up,0,0,264.14975,2
,Jacques Douai,Le Roi A Fait Battre Tambour,0,0,143.43791,0
,Weezer,Dope Nose,0,0,137.37751,0
,Walter Hawkins,Never Alone,0,0,468.00934,3
,Eddy Raven,Love Lifted Me,0,0,141.68771,0
,Nick Cave & The Bad Seeds,Wings Off Flies (2009 Digital Remaster),0,0,246.46485,2
,Bruce Springsteen,Working On The Highway,0,0,191.99955,2
,Fabolous,Trade It All PT2  (Early Fade Amended Version- Bonus Track) (featuring P. Diddy & Jagged Edge),0,0,246.33424,2
,Fiona Sit,Xin Bu Liao Qing,0,0,232.48934,2
,Showbread,The Pig,0,0,197.79873,2
,Elvin Bishop,I'll Be Glad,0,0,335.69914,1
,The Gathering,Gaya's Dream,0,0,363.31057,1
,Cal Tjader,Anyone Who Had A Heart,0,0,200.12363,2
,Showbread,Nothing Matters Anymore,0,0,252.21179,2
,Jack Johnson,Fortunate Fool,0,0,228.70159,2
,Rita Chiarelli,Tu Vuo_ Fa_ L_ Americano,0,0,278.33424,1
,Workhorse,High Horse,0,0,251.402,2
,Humble Pie,Intro/Whatcha Gonna Do about It,0,0,288.02567,1
,The Chico Hamilton Quintet With Fred Katz_ Paul Horn_ John Pisano_ Carson Smith,September Song,0,0,218.48771,2
,Dynamix,Bodyfly (Dynamix original version),0,0,451.02975,3
,Gathering,Brampton To Roadhead,0,0,242.93832,2
,Sleepy John Estes,Stop That Thing,0,0,163.91791,0
,P.O.S,Drumroll (We're All Thirsty),0,0,156.83873,0
,Gipsy Kings,Tu Quieres Volver,0,0,194.87302,2
,Languis,Cable,0,0,199.00036,2
