song_id,artist_name,title,tempo,loudness,duration
SOZNTZO12A8C13AA7E,Kisha,Wohär dr Wind wäiht,152.792,-7.222,203.04934
SOPGCJJ12A58A796B7,The Chap,Volumatic Spacer Device,123.007,-8.337,207.28118
SOAODBX12AB01829C5,DJ Vix,Putt Jhatt Da Gulabi Phull Varga,195.755,-3.423,98.76853
SOSNAWZ12A6D4F74DF,Ziggy Marley And The Melody Makers,Namibia,110.873,-11.912,246.54322
SOOLZKK12A58A80000,Crematorium,Unlearn,122.186,-7.148,210.1024
SOFYJDL12A58A7DD52,Månegarm,Vargbrodern Talar,163.086,-6.769,92.76036
SOVNTGC12AB01818F3,Ernest Ranglin / Floyd Lloyd,Sweet Lady,127.07,-4.909,271.77751
SOHOPYC12AB0188EFC,Franco,Forever,89.984,-9.387,251.61098
SOQKBQI12AB0182711,Britney Spears,3,131.999,-6.278,465.47546
SOUZAFY12A8C136709,Danny Elfman,Sleuthing,86.901,-22.435,140.87791
SOHPAVE12A8AE47190,Junior Kimbrough,Meet Me in the City,129.584,-14.023,190.06649
SOJCTES12AB01867CC,Liquid Gang,Drama  (LP Version),143.963,-4.945,226.0371
SOLNEKT12AB0187086,Everly Brothers,Oh What A Feeling,82.461,-15.036,125.02159
SOVGOOO12AB0182D50,Flowin Immo et Les Freaqz,So hell mit Klause Duo,83.321,-7.486,225.59302
SOBJTHI12A8C133758,Philip Glass,Concerto For Saxophone (Quartet Version): Movement IV,176.122,-14.383,231.10485
SOBBCFN12A8C13E4D9,Luis Alberto Spinetta,Llama y Verás,196.52,-16.079,209.47546
SONXKIQ12A8C13292A,Ramy Ayach,Heyya Heyya,88.015,-5.942,239.80363
SOKQLLS12AB0188EC1,Frank Chacksfield & His Orchestra,Misty Valley,151.195,-19.61,155.37587
SOIIANJ12AB0184B3E,Frl.Menke,Sehnsuchtsexpress,90.954,-11.016,217.20771
SOCNBUC12A81C2075A,Agnostic Front,Come Alive,185.453,-5.218,122.17424
SOBBHAH12A6310FF6B,Snow Patrol,Spitting Games,74.576,-14.848,229.642
SOBDENU12CF5465247,Rise Against,Drones,209.141,-3.696,181.57669
SOVPFPD12A8C13921A,The Rance Allen Group,Do Your Will (Album Version),105.994,-4.152,337.162
SOHVPTO12A8C138ADF,Refractory,Check the bomb,123.96,-5.613,358.89587
SOUXAJS12AB0184E3B,Theodor Zox,System of Play,83.991,-11.941,381.23057
SOQXNQP12A8C134AD7,Bob Dylan,Trying To Get To Heaven,94.161,-14.089,320.70485
SOCIFIF12A8C1378E5,Maximilian Hecker,Birch,243.981,-13.538,370.02404
SOWISQE12A6D4F7DBB,Albert Collins,Same Old Thing,94.557,-11.893,356.25751
SOHKKXU12A67ADA08F,Fergie,Voodoo Doll,129.997,-6.502,263.05261
SOVKSAD12A8C142C13,Los Amigos Invisibles,Nerio Compra Una Contestadora,142.453,-21.978,24.34567
SONUOBX12A8C141070,Seal,Killer (Single Version),117.988,-7.762,257.48853
SOLVAZN12AB017DBAD,Flink,Sunset Manifesto,147.934,-6.103,160.91383
SOQGGUN12AC4689CF7,Salt The Wound,From My Hands,174.424,-5.056,241.162
SOTKJVT12A6D4FAB59,ZENFU,Tanz,143.126,-4.689,130.71628
SOMWSER12AAF3B3B53,Daniel Paul,Coming Back For More feat. Colin Corvez,120.04,-11.556,323.60444
SORZLQQ12A8C137BB6,Winston Reedy,Paradise In Your Eyes,130.812,-7.097,268.61669
SOAHPOW12A8C142E38,Korpiklaani,Isku Pitkästä Ilosta,99.995,-4.535,250.8273
SOQRRHL12AB017A67C,Eminem,The Way I Am,174.731,-3.353,291.10812
SOENOQK12AB01864B9,Johnny Cash,One More Ride (Digitally Remastered),110.43,-12.308,120.99873
SOMMZQP12AB0186FFE,Brian Dullaghan,Can't Help Falling In Love,90.255,-15.892,190.56281
SOMLDJP12A6D4FD967,Dezz White,Drunk Driving Tip,59.021,-15.497,44.93016
SOXSCPE12CF5F88012,Shakira,Que Vuelvas,123.861,-7.174,231.75791
SOMXLQP12AB018284C,Roger Williams,I'm In The Mood For Love,100.366,-15.383,170.81424
SOAHNZK12A6D4F79A9,Gonzalo Rubalcaba,Yesterdays,70.256,-33.045,483.39546
SOOBOIA12AAF3B268E,David Taylor,Concertino for Bass Trombone and Trombone Choir,144.252,-22.54,600.11057
SOPTAMD12A58A7CFF3,Domna Kountouri,De Tha Mai Edo,99.98,-8.318,209.94567
SOFPYLJ12A6D4F843F,Anne Dudley,Rachel's retribution,118.326,-15.428,280.86812
SOWYFAX12A6D4F7A3D,The Starting Line,A Goodnight's Sleep,142.069,-5.011,264.41098
SOOIZES12AB018A80F,L.A.V.I,Mui Mal_ Animal,0.0,-11.531,565.96853
SODXUGT12A58A78B78,TEN MADISON,Cup Horn,190.038,-8.627,344.68526
SONZYRS12A8C141A13,Carl Belew,Am I That Easy To Forget,117.867,-13.338,140.38159
SOWLJJU12A81C2224B,Sonora Carruseles,Vitamina,108.292,-6.564,230.00771
SOVMSTD12A6D4F9840,The Misfits,The Haunting,212.293,-5.542,85.9424
SOIZQWP12AAF3B51CA,Jessie Lee Miller,All or Nothin' Gal,188.979,-7.391,116.92363
SOPAESK12A58A7BA11,Audio Adrenaline,Some Kind Of Zombie (Criscoteque Remix),108.351,-5.934,279.97995
SOWPSOV12A8C13FFE5,Tito Allen,A Veces Hablo De Ti,183.636,-14.305,322.21995
SOHBUBB12A3F1ED339,Pee Wee Crayton,Old Fashioned Baby,116.461,-10.446,163.10812
SOGKLCE12AB0186FDC,Dickies,Just Say Yes,104.231,-9.428,152.94649
SOPQFFJ12AB0183400,David & Steve Gordon,Faithkeeper_ Part 1,131.991,-18.799,532.27057
SOZEYFC12A58A77E0B,Abijah,Children Of Love,81.025,-18.818,204.77342
SONNDTL12AB0187AC9,Daniela Dessì,Afro Profondo,179.998,-9.638,178.75546
SOPILFZ12AC468D188,Murskahumppa,Lihava enkeli,136.579,-8.997,163.47383
SOHVQGL12AB01810AD,CoCo Lee,Killing Me Softly With His Song,100.82,-8.933,310.54322
SOKDGJC12AB018BFB9,Doniki,Girl You Need My Love,175.202,-17.266,256.20853
SOUGUXL12AB0184B76,Burt Bacharach,Love Theme (The Falling In Love),66.882,-17.806,98.32444
SOMOKFH12A6D4F9EE6,Leon Russell,Roller Derby,120.427,-12.824,145.55383
SOZDDPQ12AF72A8BA8,Jimmy Wayne,Are You Ever Gonna Love Me?,142.409,-6.349,232.64608
SOJOLZE12AC3DFA463,Fast Eddie featuring Kool Rock,Turn Up The Bass,125.86,-8.902,271.3073
SOLCJWW12A8C137C98,Ann Lee,So deep,131.999,-7.804,380.08118
SOGGBMU12A8C145B5D,Life Long Tragedy,Collecting Dust,86.435,-6.024,204.9824
SOWHPTY12AB0181D50,Hushabye Baby,You Had Me From Hello (Lullaby Rendition of Kenny Chesney),69.995,-18.798,223.45098
SOABTKM12A8AE4721E,Ill Nino,Nothing's Clear (Album Version),109.441,-3.778,202.13506
SOJVAAE12A8BED74B1,The Marx Brothers,You Must Do Your Best Tonight / I Represent/Animal Crackers,60.778,-14.639,116.37506
SOHSBLC12AB0183BC9,William Goldstein,French Suite: A Paris Thing,89.102,-28.215,276.50567
SOELVGK12A8C1337AF,Tim Exile,Oh Scat Mix Up,124.429,-3.716,78.21016
SOQMDPN12AF72A25EE,The Jam,The Modern World,159.849,-8.812,150.59546
SOTPQFM12AB017AC9E,Descendents,I'm Not A Loser,203.29,-8.867,89.23383
SOPRPES12A8C1372A6,Barbarito Diez,De Paris Un Caballero,65.914,-7.807,157.962
SOWXSQT12A6D4FC02E,Bill Engvall,T-Ball and Indian Guides (LP Version),112.964,-11.689,482.21995
SONSKRD12A6D4F9439,Françoise Hardy - Maurane,La Rue Du Babouin,105.156,-16.904,194.24608
SOCQEHT12AB017F37F,David Arkenstone,Big Bounce,108.014,-12.958,272.97914
SOWNOXA12AB0184353,The Almost,Summer Summer,136.147,-5.353,240.79628
SOEJBBP12AB017F03E,Camp Lo,Bubblin' (Anita Demo),196.45,-11.502,222.40608
SOACUYZ12CF54662F1,Stevie Ray Vaughan And Double Trouble,Couldn't Stand The Weather,121.616,-9.882,281.05098
SOXXJWR12AB017F577,David Johansen,In Style,87.373,-7.436,247.97995
SOGATPI12AC960DCAC,Jeff Massanari Trio,Closin' Moes,183.801,-9.924,253.85751
SOQQPAX12AB0185375,Harry Lauder,Portobello Lass,162.993,-22.55,177.6322
SONCTTO12AB0183ED1,Gershon Kingsley,Trumansburg Whistle,130.831,-11.826,180.08771
SONARPL12CF5465254,Kenny Rogers,Reuben James,187.128,-14.406,167.00036
SOGQWTX12AB017FD78,Bad Company,Rock Steady,102.984,-8.064,229.58975
SOZVZIO12AB017C39B,Winifred Phillips,Sporable,130.195,-15.835,141.19138
SOJWIXK12AB018D4B6,Zombina & The Skeletones,The Waiting,94.754,-6.264,145.3971
SOFSDOM12AB01830F1,MxPx,Grey Skies Turn Blue,87.779,-3.861,183.97995
SOEZJIE12A8C1318B7,Zumpano,Wraparound Shades (Album),159.784,-8.394,228.46649
SORKFNI12AB018214B,Thrice,The Earth Isn't Humming,143.59,-9.454,349.80526
SOHUTJL12AB017CFDD,Davol,Champion (World),102.015,-15.991,264.09751
SOOBQGC12AC468CEAA,Cannon's Jug Stompers,Heart Breakin' Blues,139.606,-14.897,186.64444
SOQWFLA12AF72A8A63,30 Seconds To Mars,Year Zero,121.518,-6.736,472.39791
SOZFKKI12AB018602A,Who Made Who,Satisfaction,132.974,-6.145,265.32526
SONSSZX12AC4687680,Tyrone Davis,I Can't Help Myself,84.955,-9.998,277.41995
SOTNAWQ12AB01870F4,K.I.Z.,Autofokus,151.488,-4.547,231.18322
SOZQSIB12AC46881EC,Aimable,Tango Andorra,106.953,-15.966,180.45342
SOQLJZN12A8C141701,Birmingham Jubilee Singers,King Jesus Is My Captain,150.405,-18.697,183.27465
SOAAVJY12A58A8076E,Shelby Flint,I've Grown Accustomed To His Face I've Grown Accustomed To His Face,35.691,-15.276,121.25995
SOAXFFT12A6D4F7B45,Ill Harmonics,Profound Sound (Take Two Album Version),180.415,-8.343,59.03628
SODVYMC12A8C139669,Lonnie Johnson,She's My Mary,90.814,-13.987,199.44444
SOEMZVF12A8C13148C,Alvin Youngblood Hart,Livin' In a Strain,112.717,-14.039,231.10485
SOTTPDC12AB018B6D1,The Knightsbridge Strings,The Little White Cloud That Cried,75.064,-9.923,132.44036
SOUXPIR12A81C21E21,Los Solitarios,Amor que terminó,129.493,-11.163,179.56526
SONLHOH12A8C1359D9,The Dils,Tell Me What I Want to Hear,163.024,-7.198,141.84444
SOHGNJI12AB018217A,Thrice,Red Sky,137.913,-9.425,313.7824
SOCIKUA12AB0180275,Herbert von Karajan and Turin RAI Symphony Orchestra,Symphony No. 7 in A Major_ Op. 92: I. Poco sostenuto - Vivace,92.731,-18.427,770.35057
SOICWAN12A81C21789,Flora Purim,Above The Rainbow,173.649,-16.444,208.03873
SOVJQYF12AB0185B36,Kenny Neal,Strike While the Iron is Hot,107.008,-14.422,180.61016
SOBEDLB12AB017E86C,Harry Lauder,Shouther to Shouther (Shoulder to Shoulder),101.029,-23.214,224.62649
SOQYNGM12A6D4F89D8,Joi,Prem,120.006,-5.36,425.16853
SOPXSOJ12A81C209E2,Aceyalone,Suicide,129.956,-4.149,170.1873
SOELGKJ12A58A7CD11,Tech N9ne,Caribou Lou,177.942,-6.696,274.85995
SOOYIJN12AB017C168,Little Feat,Day Or Night [Live Album Version],93.42,-8.163,330.73587
SOZIQWL12AB01814C9,Los Auténticos Decadentes,El Vino Triste,136.835,-9.737,210.02404
SOAMBKN12A8C137A71,Pearl Jam,Wishlist,117.946,-9.407,235.25832
SOEDFNB12A8AE48D1A,Chaka Demus & Pliers,Santa Barbara,95.044,-7.378,251.97669
SOUVEIY12A8C12FCF3,Teena Marie,Playboy,97.396,-12.256,323.18649
SOIEMSI12AB01802B4,Christian Quast,Jugglin' Clown,126.914,-15.252,485.14567
SOXRTIF12A8C134238,Wilks,Things i say,174.014,-7.91,220.36853
SOZAMZG12A8C137339,Deodato,Groovitation (Album Version),110.909,-16.532,371.33016
SOOAOFY12A8C13BDEB,Tom Cochrane,Christmas All The Time (Acoustic),80.63,-11.938,204.14649
SOSYUIY12AB0189FC2,Steel Pulse,Role Model,156.084,-6.53,262.47791
SOBJREC12A8C139A10,Edouard Duleu,Virtuosite Musette,230.187,-8.031,130.06322
SOUPVPL12AB0189B9F,ARRESTED DEVELOPMENT,Since The Last Time,177.886,-6.25,218.06975
SOFLGMJ12AB01885F6,Bela Fleck And The Flecktones,Michelle (LP Version),95.523,-15.806,309.91628
SOJINJO12A8C13C8C9,Bitty McLean,We´ve Only Just Begun,181.187,-11.313,246.46485
SOHYLEY12A8C13F20D,Los Chichos,Porque Nos Queremos,100.232,-6.159,212.53179
SOGMLLJ12A8AE46BA4,Jane's Addiction,Obvious ( LP Version ),92.729,-7.938,355.63057
SOJNSEO12AB01818F8,In Extremo,Frei zu sein,146.103,-6.44,260.5971
SODHXXN12AC46899D2,DJ Omega,Grown & Sexy,155.023,-10.629,203.31057
SOGTNRF12AB0186035,Markscheider Kunst,Grustnaja,140.033,-7.381,222.64118
SOTCGFW12A6D4F3B84,Étienne Daho,Epaule tattoo (Live 1989),132.794,-8.534,288.49587
SOXRWWL12A8C1345F8,Plies,Goons Lurkin (Instrumental Album Version),110.933,-9.545,233.42975
SOKLINL12A8C13447C,Jeff And Sheri Easter,Wolf In Sheep's Clothing,180.073,-6.15,170.4224
SOTDSFJ12A8C141206,React,Lost Circles,134.648,-9.68,158.27546
SOAHRPF12AC468D610,DJ Nasty,Pussy Hole,149.984,-12.624,194.29832
SOGFGGL12A8AE47040,Günter Noris,El Cumbanchero,124.394,-11.793,156.62975
SOFQGMJ12AC468CBA7,Orquesta Sublime,El divertido,101.345,-8.631,168.30649
SOJSITS12AB01850A4,Milieu,Blackwood Moth,87.003,-13.08,371.87873
SOAMJUS12A8C13446A,Out Of The Grey,Dreaming Of April,87.76,-9.598,225.95873
SOQQXBH12A8C145D71,Snow Patrol,New Sensation,114.954,-14.309,214.5171
SOMNSOY12AB0181ACB,Dart,For The Good Times,148.027,-10.008,340.53179
SOLEFXD12AC3DFA062,Pelle Carlberg,Clever Girls Like Clever Boys Much More Than Clever Boys Like Clever Girls,169.994,-5.603,247.24853
SOLLCFT12A58A7A566,Open Hand,Never Alone,86.308,-7.655,486.97424
SOTGSMJ12A6D227171,Sex Pistols,Chatterbox,152.899,-14.683,189.17832
SOFGEIT12A8C1406F3,Ennio Morricone,Sporco Ma Distinto,87.153,-11.008,118.33424
SOMBDFC12A58A7A14E,Koffi Olomide,Elle Et Moi,89.92,-8.756,293.27628
SOZMPSO12A8C132D83,Charlie McCoy,Columbus Stockade Blues,113.293,-13.483,197.79873
SOFKARX12A8AE485EE,The Wreckers,Damn That Radio [Live],152.208,-5.809,211.59138
SOSYHBX12A8C1417B8,Gal Costa,Camisa Amarela,118.047,-10.874,171.85914
SOZZWWW12A58A8146A,Enuff Z Nuff,Style,158.795,-8.649,182.15138
SOFEOZP12A6D4F9DF1,Lesley Gore,It's My Party,129.161,-7.541,140.2771
SOBGZZO12A6701CD25,Inspiral Carpets,Keep The Circle Around,150.226,-4.134,230.05995
SOIBJTK12A8C143D5E,Various Production,Wot U Say,145.064,-8.862,191.99955
SOOHHOU12AB018157C,Eason Chan,Xiang Zai Le Huo,101.37,-8.698,221.80526
SOLCSWD12A6D4FA136,Stephen Warbeck,Birth Of The Falls,116.259,-16.039,123.68934
SOSVQAW12A67ADC91A,Johnny Daye,What'll I Do For Satisfaction (LP Version),118.563,-11.323,176.90077
SOHLGRQ12A8C13B296,An Cafe,Portraying Light With Rainbow Colored Crayon,148.991,-4.802,310.12526
SOWOTCY12AC907329A,Gene Pitney,For Me This Is Happy,79.112,-13.254,146.9122
SOYOOPY12A58A7C4F8,Peggy Zina,Ithaki,107.55,-14.236,177.44934
SOYCTRU12A6701DA91,New Order,Guilty Partner,146.29,-5.729,288.02567
SOHMLNS12A58A7DA68,The Sensational Alex Harvey Band,Delilah,90.689,-12.936,316.81261
SOBCCVG12A8C13804C,Bobby Pulido,La Rosa (Live),195.109,-8.886,195.42159
SOGOZYQ12AB0182359,Bruce Rowland,"Let's Call Him ""Andre",235.318,-26.458,138.762
SOYMUKA12A8C13C923,Kitty Kallen,Our Lady Of Fatima,94.064,-15.555,165.45914
SODRZXF12A6D4F89FE,Kari Tapio,Syvä meri (Oceano),115.879,-7.069,161.20118
SOERJUK12AF72A49F7,Redman,I Got A Seecret,113.312,-8.745,209.6322
SOQUOUX12A8C14439E,Chucho Valdés,Reprise: Tú mi delirio - Guajira - Si te contara - El manisero,80.789,-20.259,375.03955
SODCJNH12AB018A3A9,Belami,Te Miattad Változott Meg Az Életem,140.077,-7.996,237.19138
SOJVFTP12A58A7A4D4,Tshala Muana,Banda Yango,137.349,-5.252,390.63465
SOLWNAR12A67020BF5,Extreme,Song For Love,146.022,-7.894,355.5522
SOAQBLS12AC46878BF,Janina,Nachts um halb drei,141.053,-9.318,189.70077
SOOMLMG12A8151BD28,Mat Maneri,Iron Man,144.184,-17.985,192.15628
SOWZPSA12AB0187979,Panic At The Disco,I Constantly Thank God For Esteban [Live In Chicago],153.069,-5.205,253.23057
SOFTYIA12AB0183B67,Pumpkin Buzzard,000GrandPno,120.398,-15.272,45.87057
SOZWZEH12AAF3B2578,Christos Dantis,Pai Keros,131.404,-12.538,251.08853
SOQFZBX12A6D4F5B4D,The Moody Blues,Tuesday Afternoon,115.514,-12.065,291.29098
SOUAAMR12AB018C0B1,Fiona,As We Lay,66.201,-6.18,228.10077
SOBLYNT12A8C137046,Nicole C. Mullen,Forever You Reign (Album),124.228,-4.714,268.43383
SOKNSOQ12A8C134AAE,Orquestra,Tema Da Desilusão (Garota De Ipanema),104.752,-13.767,87.58812
SOJIGMK12AB018B088,Virgil Moorefield,Healing Power,123.004,-10.829,236.2771
SODCBCN12AB01818EA,Hatiras,The Anthem,131.999,-6.125,298.1873
SOZEKTZ12AB0185274,Trafik,Disco Trafiko,127.984,-7.811,265.53424
SOOJCEQ12AB0189C25,Jope Ruonansuu,Rant Kanaria,111.004,-10.321,211.25179
SOREPOR12AB01859E4,This Moment In Black History,Blackwords Masking,156.408,-4.928,145.8673
SOKBQMV12A8C13A7E6,Joselito,Clavelitos,96.096,-10.012,159.76444
SOTZGNC12AB0184FE8,Natalie Cole,The Gift,115.45,-15.222,194.53342
SOFFCBZ12A8C144291,UK Subs,Tomorrows Girls (Live),199.379,-2.952,122.40934
SOUBVIH12A8C137C89,Imiskoubria,O Dikos Sou DJ,97.039,-7.032,208.50893
SOXDMAC12AB017E7FF,Grizzly Bear,Little Brother,169.038,-14.199,384.67873
SOZAUAC12A8AE491A3,Nirvana,Polly,130.339,-14.338,168.51546
SOHGWLG12A8AE484B4,George Jones,Ol' Frank,131.45,-15.467,168.33261
SOONUVQ12AB018889B,SOJA,Be Aware,102.581,-5.781,221.09995
SORNAKH12AF72A1FDE,Julie Roberts,The Chance,139.99,-12.517,287.50322
SONSEWJ12AB0182FBB,Seatrain,Abbeville Fair,107.836,-6.112,294.47791
SOMKDSL12A8A9D5A19,Cracker,My Life Is Totally Boring Without You,107.848,-8.749,196.5971
SOCHIPS12AB017E780,Chris Clark,Gavel Obliterated,102.093,-7.551,226.11546
SOKKHMB12AB0182B39,Al Di Meola,Calliope,110.096,-16.945,257.30567
SOTKIHB12A8C13F653,Mustafa Sandal / Gülcan,Aya Benzer 2003 (Moonlight),50.499,-5.254,239.12444
SOISSJU12A8C135C04,The Elders,Fire in the Hole,151.726,-8.545,274.46812
SOQIBIH12AB0186282,Mance Lipscomb,So Different Blues,161.7,-10.173,181.39383
SOCDVLZ12A8C13ECD2,Los Chunguitos,Cuantas Madres Llorando,128.176,-5.013,172.72118
SORMKJM12AB017A911,Harald Kloser / Thomas Wander / Thomas Schobel,Opening,119.787,-29.054,163.21261
SOFSPBH12A8AE47733,Singing Melody,Lived My Life,162.389,-6.513,235.7024
SOTZFYX12A6D4F71DE,Juelz Santana / Freekey Zeekey / Monique Garnett,Dipset (Santana's Town) (Skit),196.482,-19.771,79.64689
SOCXMVT12A67ADD8BA,SNAP!,Do You See The Light (Deep Ethno Mix),131.977,-13.615,293.92934
SOUPQHK12AB017CC62,Java,Pépètes,183.881,-6.997,304.16934
SOQFANJ12AB0182758,The Rodeo,Cha Cha Cha,130.203,-6.317,176.97914
SOLYALY12AC3DF5182,Kristine W.,Save My Soul (Cypher UK Radio Edit),129.976,-4.499,235.12771
SOJFOMN12A8C135B75,León Gieco,Buenos Aires (De Tus Amores),163.773,-7.657,302.2624
SOBMAHU12AB017FA30,Faron Young,It's Four In The Morning,141.772,-23.907,159.79057
SOKQQDO12A8C13471A,Paul Buckmaster,The Interrogation,161.665,-24.112,73.50812
SOADJAQ12A8C13F520,Paul Avgerinos,Song Without End,91.405,-18.208,324.51873
SOIZLKI12A6D4F7B61,Muse,Supermassive Black Hole (Album Version),120.01,-3.313,209.34485
SOZVZWP12A58A7BAD1,Seal,Show Me (Acoustic Version),119.772,-15.808,117.78567
SOMSGDK12A8C14032F,The Prefects,Background Music: The Greatest Ever Punk Sing-Along! (Live),104.521,-19.468,266.57914
